"","pais","CountryCode","indicador","year","m3"
"361","Guyana","GUY","Renewable internal freshwater resources per capita (cubic meters)","1962",397502.1689
"362","High income","HIC","Renewable internal freshwater resources per capita (cubic meters)","1962",13293.53423
"364","Honduras","HND","Renewable internal freshwater resources per capita (cubic meters)","1962",42056.95921
"365","Heavily indebted poor countries (HIPC)","HPC","Renewable internal freshwater resources per capita (cubic meters)","1962",28585.49544
"367","Haiti","HTI","Renewable internal freshwater resources per capita (cubic meters)","1962",3236.239513
"368","Hungary","HUN","Renewable internal freshwater resources per capita (cubic meters)","1962",596.3186862
"369","IBRD only","IBD","Renewable internal freshwater resources per capita (cubic meters)","1962",12688.01979
"370","IDA & IBRD total","IBT","Renewable internal freshwater resources per capita (cubic meters)","1962",13700.40529
"371","IDA total","IDA","Renewable internal freshwater resources per capita (cubic meters)","1962",18813.72208
"372","IDA blend","IDB","Renewable internal freshwater resources per capita (cubic meters)","1962",14020.12417
"373","Indonesia","IDN","Renewable internal freshwater resources per capita (cubic meters)","1962",21819.44985
"374","IDA only","IDX","Renewable internal freshwater resources per capita (cubic meters)","1962",21245.54351
"376","India","IND","Renewable internal freshwater resources per capita (cubic meters)","1962",3082.648288
"378","Ireland","IRL","Renewable internal freshwater resources per capita (cubic meters)","1962",17277.55152
"379","Iran, Islamic Rep.","IRN","Renewable internal freshwater resources per capita (cubic meters)","1962",5569.688309
"380","Iraq","IRQ","Renewable internal freshwater resources per capita (cubic meters)","1962",4586.78716
"381","Iceland","ISL","Renewable internal freshwater resources per capita (cubic meters)","1962",932129.9718
"382","Israel","ISR","Renewable internal freshwater resources per capita (cubic meters)","1962",327.0824248
"383","Italy","ITA","Renewable internal freshwater resources per capita (cubic meters)","1962",3586.909843
"384","Jamaica","JAM","Renewable internal freshwater resources per capita (cubic meters)","1962",6455.711303
"385","Jordan","JOR","Renewable internal freshwater resources per capita (cubic meters)","1962",674.8152421
"386","Japan","JPN","Renewable internal freshwater resources per capita (cubic meters)","1962",4529.510286
"388","Kenya","KEN","Renewable internal freshwater resources per capita (cubic meters)","1962",2393.893282
"390","Cambodia","KHM","Renewable internal freshwater resources per capita (cubic meters)","1962",20005.19538
"392","St. Kitts and Nevis","KNA","Renewable internal freshwater resources per capita (cubic meters)","1962",470.9483723
"393","Korea, Rep.","KOR","Renewable internal freshwater resources per capita (cubic meters)","1962",2445.967134
"394","Kuwait","KWT","Renewable internal freshwater resources per capita (cubic meters)","1962",0
"395","Latin America & Caribbean (excluding high income)","LAC","Renewable internal freshwater resources per capita (cubic meters)","1962",57634.47366
"396","Lao PDR","LAO","Renewable internal freshwater resources per capita (cubic meters)","1962",85722.40259
"397","Lebanon","LBN","Renewable internal freshwater resources per capita (cubic meters)","1962",2493.12443
"398","Liberia","LBR","Renewable internal freshwater resources per capita (cubic meters)","1962",171430.8735
"399","Libya","LBY","Renewable internal freshwater resources per capita (cubic meters)","1962",451.375567
"400","St. Lucia","LCA","Renewable internal freshwater resources per capita (cubic meters)","1962",3264.702042
"401","Latin America & Caribbean","LCN","Renewable internal freshwater resources per capita (cubic meters)","1962",59791.65065
"402","Least developed countries: UN classification","LDC","Renewable internal freshwater resources per capita (cubic meters)","1962",20555.71238
"403","Low income","LIC","Renewable internal freshwater resources per capita (cubic meters)","1962",22051.42055
"405","Sri Lanka","LKA","Renewable internal freshwater resources per capita (cubic meters)","1962",5100.374993
"406","Lower middle income","LMC","Renewable internal freshwater resources per capita (cubic meters)","1962",9124.792711
"407","Low & middle income","LMY","Renewable internal freshwater resources per capita (cubic meters)","1962",13113.71953
"408","Lesotho","LSO","Renewable internal freshwater resources per capita (cubic meters)","1962",6017.497917
"409","Late-demographic dividend","LTE","Renewable internal freshwater resources per capita (cubic meters)","1962",14444.34838
"411","Luxembourg","LUX","Renewable internal freshwater resources per capita (cubic meters)","1962",3117.692907
"415","Morocco","MAR","Renewable internal freshwater resources per capita (cubic meters)","1962",2214.604323
"418","Madagascar","MDG","Renewable internal freshwater resources per capita (cubic meters)","1962",62961.26836
"419","Maldives","MDV","Renewable internal freshwater resources per capita (cubic meters)","1962",316.1155719
"420","Middle East & North Africa","MEA","Renewable internal freshwater resources per capita (cubic meters)","1962",2068.221311
"421","Mexico","MEX","Renewable internal freshwater resources per capita (cubic meters)","1962",10175.31445
"423","Middle income","MIC","Renewable internal freshwater resources per capita (cubic meters)","1962",12598.43191
"425","Mali","MLI","Renewable internal freshwater resources per capita (cubic meters)","1962",11149.58337
"426","Malta","MLT","Renewable internal freshwater resources per capita (cubic meters)","1962",155.9123186
"427","Myanmar","MMR","Renewable internal freshwater resources per capita (cubic meters)","1962",44180.75798
"428","Middle East & North Africa (excluding high income)","MNA","Renewable internal freshwater resources per capita (cubic meters)","1962",2187.14414
"430","Mongolia","MNG","Renewable internal freshwater resources per capita (cubic meters)","1962",34410.23527
"432","Mozambique","MOZ","Renewable internal freshwater resources per capita (cubic meters)","1962",13360.31326
"433","Mauritania","MRT","Renewable internal freshwater resources per capita (cubic meters)","1962",443.6114407
"434","Mauritius","MUS","Renewable internal freshwater resources per capita (cubic meters)","1962",3928.041591
"435","Malawi","MWI","Renewable internal freshwater resources per capita (cubic meters)","1962",4204.168378
"436","Malaysia","MYS","Renewable internal freshwater resources per capita (cubic meters)","1962",66725.43874
"437","North America","NAC","Renewable internal freshwater resources per capita (cubic meters)","1962",27628.29512
"438","Namibia","NAM","Renewable internal freshwater resources per capita (cubic meters)","1962",9261.500574
"440","Niger","NER","Renewable internal freshwater resources per capita (cubic meters)","1962",975.4118189
"441","Nigeria","NGA","Renewable internal freshwater resources per capita (cubic meters)","1962",4699.146401
"442","Nicaragua","NIC","Renewable internal freshwater resources per capita (cubic meters)","1962",82763.50967
"443","Netherlands","NLD","Renewable internal freshwater resources per capita (cubic meters)","1962",931.7541738
"444","Norway","NOR","Renewable internal freshwater resources per capita (cubic meters)","1962",104976.2594
"445","Nepal","NPL","Renewable internal freshwater resources per capita (cubic meters)","1962",18997.14439
"446","Nauru","NRU","Renewable internal freshwater resources per capita (cubic meters)","1962",2023.472278
"447","New Zealand","NZL","Renewable internal freshwater resources per capita (cubic meters)","1962",131748.5898
"448","OECD members","OED","Renewable internal freshwater resources per capita (cubic meters)","1962",15629.93803
"449","Oman","OMN","Renewable internal freshwater resources per capita (cubic meters)","1962",2418.684685
"450","Other small states","OSS","Renewable internal freshwater resources per capita (cubic meters)","1962",67024.54563
"451","Pakistan","PAK","Renewable internal freshwater resources per capita (cubic meters)","1962",1165.28174
"452","Panama","PAN","Renewable internal freshwater resources per capita (cubic meters)","1962",113601.6806
"453","Peru","PER","Renewable internal freshwater resources per capita (cubic meters)","1962",152658.7886
"454","Philippines","PHL","Renewable internal freshwater resources per capita (cubic meters)","1962",17060.0176
"456","Papua New Guinea","PNG","Renewable internal freshwater resources per capita (cubic meters)","1962",342256.6463
"457","Poland","POL","Renewable internal freshwater resources per capita (cubic meters)","1962",1768.480789
"458","Pre-demographic dividend","PRE","Renewable internal freshwater resources per capita (cubic meters)","1962",19188.07717
"459","Puerto Rico","PRI","Renewable internal freshwater resources per capita (cubic meters)","1962",2897.578359
"460","Korea, Dem. People's Rep.","PRK","Renewable internal freshwater resources per capita (cubic meters)","1962",5643.66125
"461","Portugal","PRT","Renewable internal freshwater resources per capita (cubic meters)","1962",4225.045961
"462","Paraguay","PRY","Renewable internal freshwater resources per capita (cubic meters)","1962",58305.40571
"464","Pacific island small states","PSS","Renewable internal freshwater resources per capita (cubic meters)","1962",134409.9908
"465","Post-demographic dividend","PST","Renewable internal freshwater resources per capita (cubic meters)","1962",12452.6167
"467","Qatar","QAT","Renewable internal freshwater resources per capita (cubic meters)","1962",995.2724558
"468","Romania","ROU","Renewable internal freshwater resources per capita (cubic meters)","1962",2269.155706
"470","Rwanda","RWA","Renewable internal freshwater resources per capita (cubic meters)","1962",3111.757629
"471","South Asia","SAS","Renewable internal freshwater resources per capita (cubic meters)","1962",3345.939029
"472","Saudi Arabia","SAU","Renewable internal freshwater resources per capita (cubic meters)","1962",550.10695
"474","Senegal","SEN","Renewable internal freshwater resources per capita (cubic meters)","1962",7617.803575
"475","Singapore","SGP","Renewable internal freshwater resources per capita (cubic meters)","1962",342.8179637
"476","Solomon Islands","SLB","Renewable internal freshwater resources per capita (cubic meters)","1962",357485.6046
"477","Sierra Leone","SLE","Renewable internal freshwater resources per capita (cubic meters)","1962",66980.38605
"478","El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)","1962",5332.310767
"480","Somalia","SOM","Renewable internal freshwater resources per capita (cubic meters)","1962",2087.526507
"482","Sub-Saharan Africa (excluding high income)","SSA","Renewable internal freshwater resources per capita (cubic meters)","1962",18383.70809
"484","Sub-Saharan Africa","SSF","Renewable internal freshwater resources per capita (cubic meters)","1962",18383.70809
"485","Small states","SST","Renewable internal freshwater resources per capita (cubic meters)","1962",76628.0877
"486","Sao Tome and Principe","STP","Renewable internal freshwater resources per capita (cubic meters)","1962",33809.9817
"487","Suriname","SUR","Renewable internal freshwater resources per capita (cubic meters)","1962",325771.4861
"490","Sweden","SWE","Renewable internal freshwater resources per capita (cubic meters)","1962",22614.29742
"491","Eswatini","SWZ","Renewable internal freshwater resources per capita (cubic meters)","1962",7539.518213
"494","Syrian Arab Republic","SYR","Renewable internal freshwater resources per capita (cubic meters)","1962",1462.845629
"496","Chad","TCD","Renewable internal freshwater resources per capita (cubic meters)","1962",4805.803873
"497","East Asia & Pacific (IDA & IBRD countries)","TEA","Renewable internal freshwater resources per capita (cubic meters)","1962",9746.466
"499","Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)","1962",7130.628779
"500","Thailand","THA","Renewable internal freshwater resources per capita (cubic meters)","1962",7720.175531
"503","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Renewable internal freshwater resources per capita (cubic meters)","1962",62350.86556
"504","Timor-Leste","TLS","Renewable internal freshwater resources per capita (cubic meters)","1962",16711.5903
"505","Middle East & North Africa (IDA & IBRD countries)","TMN","Renewable internal freshwater resources per capita (cubic meters)","1962",2187.14414
"507","South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)","1962",3345.939029
"508","Sub-Saharan Africa (IDA & IBRD countries)","TSS","Renewable internal freshwater resources per capita (cubic meters)","1962",18383.70809
"509","Trinidad and Tobago","TTO","Renewable internal freshwater resources per capita (cubic meters)","1962",4366.434851
"510","Tunisia","TUN","Renewable internal freshwater resources per capita (cubic meters)","1962",974.3403576
"511","Turkiye","TUR","Renewable internal freshwater resources per capita (cubic meters)","1962",7872.969533
"513","Tanzania","TZA","Renewable internal freshwater resources per capita (cubic meters)","1962",7885.877089
"514","Uganda","UGA","Renewable internal freshwater resources per capita (cubic meters)","1962",5404.806869
"516","Upper middle income","UMC","Renewable internal freshwater resources per capita (cubic meters)","1962",16112.70475
"517","Uruguay","URY","Renewable internal freshwater resources per capita (cubic meters)","1962",35408.65699
"518","United States","USA","Renewable internal freshwater resources per capita (cubic meters)","1962",15106.8415
"520","St. Vincent and the Grenadines","VCT","Renewable internal freshwater resources per capita (cubic meters)","1962",1201.359939
"521","Venezuela, RB","VEN","Renewable internal freshwater resources per capita (cubic meters)","1962",92075.97583
"524","Vietnam","VNM","Renewable internal freshwater resources per capita (cubic meters)","1962",10362.87954
"525","Vanuatu","VUT","Renewable internal freshwater resources per capita (cubic meters)","1962",147507.8548
"526","World","WLD","Renewable internal freshwater resources per capita (cubic meters)","1962",13406.7031
"529","Yemen, Rep.","YEM","Renewable internal freshwater resources per capita (cubic meters)","1962",383.6547721
"530","South Africa","ZAF","Renewable internal freshwater resources per capita (cubic meters)","1962",2493.636079
"531","Zambia","ZMB","Renewable internal freshwater resources per capita (cubic meters)","1962",24596.36054
"532","Zimbabwe","ZWE","Renewable internal freshwater resources per capita (cubic meters)","1962",3035.247743
