"","pais","CountryCode","indicador","X2018","X1962"
"67","Ecuador","ECU","Renewable internal freshwater resources per capita (cubic meters)",25895.03065,91990.46659
"68","Egypt, Arab Rep.","EGY","Renewable internal freshwater resources per capita (cubic meters)",10.16016463,35.57167126
"69","Euro area","EMU","Renewable internal freshwater resources per capita (cubic meters)",2950.21038,3614.716157
"70","Eritrea","ERI","Renewable internal freshwater resources per capita (cubic meters)",810.9367565,NA
"71","Spain","ESP","Renewable internal freshwater resources per capita (cubic meters)",2376.182413,3584.395065
"72","Estonia","EST","Renewable internal freshwater resources per capita (cubic meters)",9614.388147,NA
"73","Ethiopia","ETH","Renewable internal freshwater resources per capita (cubic meters)",1116.966436,NA
"74","European Union","EUU","Renewable internal freshwater resources per capita (cubic meters)",3042.502839,3654.582351
"75","Fragile and conflict affected situations","FCS","Renewable internal freshwater resources per capita (cubic meters)",5420.113831,27144.71441
"76","Finland","FIN","Renewable internal freshwater resources per capita (cubic meters)",19399.78515,23823.07869
"77","Fiji","FJI","Renewable internal freshwater resources per capita (cubic meters)",32315.02337,67706.49295
"78","France","FRA","Renewable internal freshwater resources per capita (cubic meters)",2980.540202,4174.940093
"79","Faroe Islands","FRO","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"80","Micronesia, Fed. Sts.","FSM","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"81","Gabon","GAB","Renewable internal freshwater resources per capita (cubic meters)",77384.95476,320760.4369
"82","United Kingdom","GBR","Renewable internal freshwater resources per capita (cubic meters)",2181.752174,2723.004695
"83","Georgia","GEO","Renewable internal freshwater resources per capita (cubic meters)",15598.8825,NA
"84","Ghana","GHA","Renewable internal freshwater resources per capita (cubic meters)",1017.902041,4284.522861
"85","Gibraltar","GIB","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"86","Guinea","GIN","Renewable internal freshwater resources per capita (cubic meters)",18204.82392,62579.12383
"87","Gambia, The","GMB","Renewable internal freshwater resources per capita (cubic meters)",1315.736383,7897.105974
"88","Guinea-Bissau","GNB","Renewable internal freshwater resources per capita (cubic meters)",8536.502083,25442.17709
"89","Equatorial Guinea","GNQ","Renewable internal freshwater resources per capita (cubic meters)",19863.00637,99153.76079
"90","Greece","GRC","Renewable internal freshwater resources per capita (cubic meters)",5403.953943,6865.340954
"91","Grenada","GRD","Renewable internal freshwater resources per capita (cubic meters)",1794.542795,2162.606373
"92","Greenland","GRL","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"93","Guatemala","GTM","Renewable internal freshwater resources per capita (cubic meters)",6680.145226,24939.45559
"94","Guam","GUM","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"95","Guyana","GUY","Renewable internal freshwater resources per capita (cubic meters)",309368.2085,397502.1689
"96","High income","HIC","Renewable internal freshwater resources per capita (cubic meters)",8525.41561,13293.53423
"97","Hong Kong SAR, China","HKG","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"98","Honduras","HND","Renewable internal freshwater resources per capita (cubic meters)",9456.039897,42056.95921
"99","Heavily indebted poor countries (HIPC)","HPC","Renewable internal freshwater resources per capita (cubic meters)",5194.65269,28585.49544
"100","Croatia","HRV","Renewable internal freshwater resources per capita (cubic meters)",9222.467693,NA
"101","Haiti","HTI","Renewable internal freshwater resources per capita (cubic meters)",1169.359526,3236.239513
"102","Hungary","HUN","Renewable internal freshwater resources per capita (cubic meters)",613.775328,596.3186862
"103","IBRD only","IBD","Renewable internal freshwater resources per capita (cubic meters)",5628.143557,12688.01979
"104","IDA & IBRD total","IBT","Renewable internal freshwater resources per capita (cubic meters)",5259.815425,13700.40529
"105","IDA total","IDA","Renewable internal freshwater resources per capita (cubic meters)",4178.968268,18813.72208
"106","IDA blend","IDB","Renewable internal freshwater resources per capita (cubic meters)",3021.455076,14020.12417
"107","Indonesia","IDN","Renewable internal freshwater resources per capita (cubic meters)",7541.7337,21819.44985
"108","IDA only","IDX","Renewable internal freshwater resources per capita (cubic meters)",4766.398782,21245.54351
"109","Isle of Man","IMN","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"110","India","IND","Renewable internal freshwater resources per capita (cubic meters)",1069.018778,3082.648288
"111","Not classified","INX","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
"112","Ireland","IRL","Renewable internal freshwater resources per capita (cubic meters)",10067.14994,17277.55152
"113","Iran, Islamic Rep.","IRN","Renewable internal freshwater resources per capita (cubic meters)",1570.900728,5569.688309
"114","Iraq","IRQ","Renewable internal freshwater resources per capita (cubic meters)",915.8651892,4586.78716
"115","Iceland","ISL","Renewable internal freshwater resources per capita (cubic meters)",481967.334,932129.9718
"116","Israel","ISR","Renewable internal freshwater resources per capita (cubic meters)",84.43283649,327.0824248
"117","Italy","ITA","Renewable internal freshwater resources per capita (cubic meters)",3020.435022,3586.909843
"118","Jamaica","JAM","Renewable internal freshwater resources per capita (cubic meters)",3687.748586,6455.711303
"119","Jordan","JOR","Renewable internal freshwater resources per capita (cubic meters)",68.43732696,674.8152421
"120","Japan","JPN","Renewable internal freshwater resources per capita (cubic meters)",3390.873032,4529.510286
"121","Kazakhstan","KAZ","Renewable internal freshwater resources per capita (cubic meters)",3520.924083,NA
"122","Kenya","KEN","Renewable internal freshwater resources per capita (cubic meters)",402.7819586,2393.893282
"123","Kyrgyz Republic","KGZ","Renewable internal freshwater resources per capita (cubic meters)",7738.660087,NA
"124","Cambodia","KHM","Renewable internal freshwater resources per capita (cubic meters)",7421.632088,20005.19538
"125","Kiribati","KIR","Renewable internal freshwater resources per capita (cubic meters)",NA,NA
